Projects,Raw Requirements,Requiremnet Name,Type,Requirement with Standard Syntax(previous),, type,Requirement with Standard Syntax,Domain,sub_domain,
PR-195,The motivational speaker shall be able to upload motivational videos.,Upload Motivational Video ,ubiquitous,The system shall able motivational speaker to upload motivational videos.,,ubiquitous,The system shall able motivational speaker to upload motivational videos.,Medical,Web & Mobile app,
PR-195,The system shall mark the video status as pending until approved by the  administrator.,Upload Motivational Video ,ubiquitous,The system shall mark the video status as pending until approved by the  administrator.,,ubiquitous,The system shall mark the video status as pending until approved by the  administrator.,Medical,Web & Mobile app,
PR-195,The system shall upload the video after verification by the administrator. ,Upload Motivational Video ,ubiquitous,The system shall upload the video after verification by the administrator. ,,ubiquitous,The system shall upload the video after verification by the administrator. ,Medical,Web & Mobile app,
PR-195,The motivational speaker shall be able to his/her delete motivational video.,Delete Motivational Video ,ubiquitous,The system shall enable  motivational speaker  to his/her delete motivational video.,,ubiquitous,The system shall enable  motivational speaker  to his/her delete motivational video.,Medical,Web & Mobile app,
PR-195,The motivational speaker shall be able to view his/her all uploaded motivational  videos.,View Motivational Video ,ubiquitous,The system shall enable motivation speaker to view his/her all uploaded motivational  videos.,,ubiquitous,The system shall enable motivation speaker to view his/her all uploaded motivational  videos.,Medical,Web & Mobile app,
PR-195,The motivational speaker shall be able to select a particular video to view detailed  information about it.,View Motivational Video ,ubiquitous,the system shall enabale motivational speaker  to select a particular video to view detailed  information about it.,,ubiquitous,the system shall enabale motivational speaker  to select a particular video to view detailed  information about it.,Medical,Web & Mobile app,
PR-195,The motivational speaker shall be able to see the total number of  likes/dislikes/comments on his/her motivational videos.,View Total Likes/Dislikes/Comments On Motivational Content,ubiquitous,the system shall  enable  motivational speaker to see the total number of  likes/dislikes/comments on his/her motivational videos.,,ubiquitous,the system shall  enable  motivational speaker to see the total number of  likes/dislikes/comments on his/her motivational videos.,Medical,Web & Mobile app,
PR-195,The motivational speaker shall be able to view the patient(s) reviews/comments on  his/her motivational videos.,View Patient(s) Feedback ,ubiquitous,the system  shall enable motivational speaker  to view the patient(s) reviews/comments on  his/her motivational videos.,,ubiquitous,the system  shall enable motivational speaker  to view the patient(s) reviews/comments on  his/her motivational videos.,Medical,Web & Mobile app,
PR-195,The motivational speaker shall be able to view his/her total earnings based on the  number of likes on his/her motivational videos.,View Total earnings/Revenue  ,ubiquitous,the system shall enable  motivational speaker to view his/her total earnings based on the  number of likes on his/her motivational videos.,,ubiquitous,the system shall enable  motivational speaker to view his/her total earnings based on the  number of likes on his/her motivational videos.,Medical,Web & Mobile app,
PR-195,The system shall mark the account status as pending until verified by the  administration.,Sign Up ,ubiquitous,The system shall mark the account status as pending until verified by the  administration.,,ubiquitous,The system shall mark the account status as pending until verified by the  administration.,Medical,Web & Mobile app,
PR-195,The system administrator shall verify and mark the account status as pending until  admin approved or delete the account creation request.,Sign Up ,ubiquitous,The system administrator shall verify and mark the account status as pending until  admin approved or delete the account creation request.,,ubiquitous,The system administrator shall verify and mark the account status as pending until  admin approved or delete the account creation request.,Medical,Web & Mobile app,
PR-195,The system shall be able to authenticate the email and password. ,Sign/Log In,ubiquitous,The system shall be able to authenticate the email and password. ,,ubiquitous,The system shall be able to authenticate the email and password. ,Medical,Web & Mobile app,
PR-195,The motivational content writer shall be able to upload motivational articles/blogs.,Upload Motivational Article/Blog  ,ubiquitous,The motivational content writer shall be able to upload motivational articles/blogs.,,ubiquitous,The motivational content writer shall be able to upload motivational articles/blogs.,Medical,Web & Mobile app,
PR-195,The system shall mark the article/blog status as pending until approved by the  administrator.,Upload Motivational Article/Blog  ,ubiquitous,The system shall mark the article/blog status as pending until approved by the  administrator.,,ubiquitous,The system shall mark the article/blog status as pending until approved by the  administrator.,Medical,Web & Mobile app,
PR-195,The system shall upload the article/blog after verification by administrator ,Upload Motivational Article/Blog  ,ubiquitous,The system shall upload the article/blog after verification by administrator ,,ubiquitous,The system shall upload the article/blog after verification by administrator ,Medical,Web & Mobile app,
PR-195,The motivational content writer shall be able to delete his/her motivational  articles/blogs.,Delete Motivational Articles/Blogs ,ubiquitous,The system shall make  motivational content writer be able to delete his/her motivational  articles/blogs.,,ubiquitous,The system shall make  motivational content writer be able to delete his/her motivational  articles/blogs.,Medical,Web & Mobile app,
PR-195,The system shall mark the account approval status as pending until it is approved  by the system administrator.,Sign Up ,ubiquitous,The system shall mark the account approval status as pending until it is approved  by the system administrator.,,ubiquitous,The system shall mark the account approval status as pending until it is approved  by the system administrator.,Medical,Web & Mobile app,
PR-195,The system shall inform the psychologist if he/she has entered any invalid field  such as email address or password.,Sign Up ,ubiquitous,The system shall inform the psychologist if he/she has entered any invalid field  such as email address or password.,,ubiquitous,The system shall inform the psychologist if he/she has entered any invalid field  such as email address or password.,Medical,Web & Mobile app,
PR-195,The system shall authenticate the entered email address and password.,Sign/Log In ,ubiquitous,The system shall authenticate the entered email address and password.,,ubiquitous,The system shall authenticate the entered email address and password.,Medical,Web & Mobile app,
PR-195,The system administrator shall respond to the complaint/query via email and resolve  it in the least possible time.,Place a Complaint/Query,ubiquitous,The system administrator shall respond to the complaint/query via email and resolve  it in the least possible time.,,ubiquitous,The system administrator shall respond to the complaint/query via email and resolve  it in the least possible time.,Medical,Web & Mobile app,
PR-195,The system shall remove the complaint/query once it has been completely resolved.,Place a Complaint/Query,ubiquitous,The system shall remove the complaint/query once it has been completely resolved.,,ubiquitous,The system shall remove the complaint/query once it has been completely resolved.,Medical,Web & Mobile app,
PR-195,The patient shall be able to log in to his/her account by entering an email address and  a password.,Sign/Log In,ubiquitous,The system  shall make patient  be able to log in to his/her account by entering an email address and  a password.,,ubiquitous,The system  shall make patient  be able to log in to his/her account by entering an email address and  a password.,Medical,Web & Mobile app,
PR-195,The system shall authenticate the entered email address and password.,Sign/Log In,ubiquitous,The system shall authenticate the entered email address and password.,,ubiquitous,The system shall authenticate the entered email address and password.,Medical,Web & Mobile app,
PR-195,The patient shall be able to view all the currently available psychologists which have  been registered on the system.,View And Select Available Psychologists ,ubiquitous,The system shall make be able to view all the currently available psychologists which have  been registered on the system.,,ubiquitous,The system shall make be able to view all the currently available psychologists which have  been registered on the system.,Medical,Web & Mobile app,
PR-195,The patient shall send an authentic proof of the payment that has been made for the services of the psychologists.,View And Select Available Psychologists ,ubiquitous,The system shall make patient able to send an authentic proof of the payment that has been made for the services of the psychologists.,,ubiquitous,The system shall make patient able to send an authentic proof of the payment that has been made for the services of the psychologists.,Medical,Web & Mobile app,
PR-195,The system shall save the text chat records as soon as the patient logs out.,Text Chat ,ubiquitous,The system shall save the text chat records as soon as the patient logs out.,,ubiquitous,The system shall save the text chat records as soon as the patient logs out.,Medical,Web & Mobile app,
PR-195,The patient shall be able to see the reviews about the particular psychologist by the  other patients.,View Patient Reviews ,ubiquitous,The system shall make patient  to see the reviews about the particular psychologist by the  other patients.,,ubiquitous,The system shall make patient  to see the reviews about the particular psychologist by the  other patients.,Medical,Web & Mobile app,
PR-195,The patient shall be able to visit the psychologist's profile before booking a session  with him/her.,View Patient Reviews ,ubiquitous,The system shall make patient  be able to visit the psychologist's profile before booking a session  with him/her.,,ubiquitous,The system shall make patient  be able to visit the psychologist's profile before booking a session  with him/her.,Medical,Web & Mobile app,
PR-195,The patient shall be able to choose a payment method for making the payment.,Make Payment ,ubiquitous,The system shall make patient   be able to choose a payment method for making the payment.,,ubiquitous,The system shall make patient   be able to choose a payment method for making the payment.,Medical,Web & Mobile app,
PR-195,The system shall allow the patient to choose a payment method.,Make Payment ,ubiquitous,The system shall allow the patient to choose a payment method.,,ubiquitous,The system shall allow the patient to choose a payment method.,Medical,Web & Mobile app,
PR-195,The patient shall upload the proofs of the payment transactions that he/she has  deposited in the account of the psychologist.,Make Payment ,ubiquitous,The system shall upload the proofs of the payment transactions that he/she has  deposited in the account of the psychologist.,,ubiquitous,The system shall upload the proofs of the payment transactions that he/she has  deposited in the account of the psychologist.,Medical,Web & Mobile app,
PR-195,The system shall mark the status of the payment as pending until it has been  approved by the system administrator.,Make Payment ,ubiquitous,The system shall mark the status of the payment as pending until it has been  approved by the system administrator.,,ubiquitous,The system shall mark the status of the payment as pending until it has been  approved by the system administrator.,Medical,Web & Mobile app,
PR-195,The payment of the payment shall be marked as approved once it has been verified  by the system administrator.,Make Payment ,ubiquitous,The system shall mark of the payment as approved once it has been verified  by the system administrator.,,ubiquitous,The system shall mark of the payment as approved once it has been verified  by the system administrator.,Medical,Web & Mobile app,
PR-195,"The patient shall be able to update his/her account information such as phone  number, email address, etc.",Update Account Information ,ubiquitous,"The system shall be able to update his/her account information such as phone  number, email address, etc.",,ubiquitous,"The system shall be able to update his/her account information such as phone  number, email address, etc.",Medical,Web & Mobile app,
PR-195,The system shall keep a track of the updated information in the database.,Update Account Information ,ubiquitous,The system shall keep a track of the updated information in the database.,,ubiquitous,The system shall keep a track of the updated information in the database.,Medical,Web & Mobile app,
PR-195,The system shall mark the status of the success story as pending until it gets  approved by the system administrator.,Write Personal Success Story ,ubiquitous,The system shall mark the status of the success story as pending until it gets  approved by the system administrator.,,ubiquitous,The system shall mark the status of the success story as pending until it gets  approved by the system administrator.,Medical,Web & Mobile app,
PR-195,The success story shall be uploaded by the system administrator once it gets  approved.,Write Personal Success Story ,ubiquitous,The ssystem shall be uploaded by the system administrator once it gets  approved.,,ubiquitous,The ssystem shall be uploaded by the system administrator once it gets  approved.,Medical,Web & Mobile app,
PR-195,The system shall mark the account status as pending until it has been approved by  the system administrator.,Sign Up,ubiquitous,The system shall mark the account status as pending until it has been approved by  the system administrator.,,ubiquitous,The system shall mark the account status as pending until it has been approved by  the system administrator.,Medical,Web & Mobile app,
PR-195,The system shall inform the patient if an invalid field such as an invalid email  address or password has been entered.,Sign Up,ubiquitous,The system shall inform the patient if an invalid field such as an invalid email  address or password has been entered.,,ubiquitous,The system shall inform the patient if an invalid field such as an invalid email  address or password has been entered.,Medical,Web & Mobile app,
PR-195,The system administrator shall confirm the account registration by sending the  confirmation email stating whether the account registration has been approved or  not.,Sign Up,ubiquitous,The system administrator shall confirm the account registration by sending the  confirmation email stating whether the account registration has been approved or  not.,,ubiquitous,The system administrator shall confirm the account registration by sending the  confirmation email stating whether the account registration has been approved or  not.,Medical,Web & Mobile app,
PR-195,The system shall authenticate the entered email address and password.,Sign/Log In  ,ubiquitous,The system shall authenticate the entered email address and password.,,ubiquitous,The system shall authenticate the entered email address and password.,Medical,Web & Mobile app,
PR-195,The system shall provide the option of resetting the password to the health/gym  instructor in case if he/she has forgotten it.,Sign/Log In  ,ubiquitous,The system shall provide the option of resetting the password to the health/gym  instructor in case if he/she has forgotten it.,,ubiquitous,The system shall provide the option of resetting the password to the health/gym  instructor in case if he/she has forgotten it.,Medical,Web & Mobile app,
PR-195,The system would send a temporary account recovery password to his/her email  address.,Sign/Log In  ,ubiquitous,The system shall send a temporary account recovery password to his/her email  address.,,ubiquitous,The system shall send a temporary account recovery password to his/her email  address.,Medical,Web & Mobile app,
PR-195,The system shall mark the daily health exercises content status as pending until  approved by the administrator.,Upload Daily Health Exercises Content  ,ubiquitous,The system shall mark the daily health exercises content status as pending until  approved by the administrator.,,ubiquitous,The system shall mark the daily health exercises content status as pending until  approved by the administrator.,Medical,Web & Mobile app,
PR-195,The system shall upload the daily health exercises content after verification by  administrator ,Upload Daily Health Exercises Content  ,ubiquitous,The system shall upload the daily health exercises content after verification by  administrator ,,ubiquitous,The system shall upload the daily health exercises content after verification by  administrator ,Medical,Web & Mobile app,
PR-195,The healthy/gym instructor shall be able to delete his/her daily health exercise  content.,Delete Daily Health Exercises Content  ,ubiquitous,The system shall make  healthy/gym instructor  enable to delete his/her daily health exercise  content.,,ubiquitous,The system shall make  healthy/gym instructor  enable to delete his/her daily health exercise  content.,Medical,Web & Mobile app,
PR-195,The health/gym instructor shall be able to view his/her all uploaded daily health  exercises content.,View Daily Health Exercises,ubiquitous,The system shall make  healthy/gym instructor  enable  to view his/her all uploaded daily health  exercises content.,,ubiquitous,The system shall make  healthy/gym instructor  enable  to view his/her all uploaded daily health  exercises content.,Medical,Web & Mobile app,
PR-195,The health/gym instructor shall be able to select a particular daily health exercise  article/video to view detailed information about it.,,ubiquitous,The system shall make  healthy/gym instructor  enable  to select a particular daily health exercise  article/video to view detailed information about it.,,ubiquitous,The system shall make  healthy/gym instructor  enable  to select a particular daily health exercise  article/video to view detailed information about it.,Medical,Web & Mobile app,
PR-197,User can register account after filling fields by submitting the form.,User,ubiquitous,the system shall make user to register account after filling fields by submitting the form.,,ubiquitous,the system shall make user to register account after filling fields by submitting the form.,Classification,Mobile app,
PR-197,User can add picture.,User,ubiquitous,the system shall make user to add picture,,ubiquitous,the system shall make user to add picture,Classification,Mobile app,
PR-197,User can upload picture.,User,ubiquitous,the system shall make User to upload picture.,,ubiquitous,the system shall make User to upload picture.,Classification,Mobile app,
PR-197,User can analyze the results in formatted form.,User,ubiquitous,the system shall analyze the results in formatted form.,,ubiquitous,the system shall analyze the results in formatted form.,Classification,Mobile app,
PR-197,User can save the results.,User,ubiquitous,the system shall  save the results by user.,,ubiquitous,the system shall  save the results by user.,Classification,Mobile app,
PR-197,User can read newsfeed and share it on social media.,User,ubiquitous,the  system shall allow User can read newsfeed and share it on social media.,,ubiquitous,the system shal allow the User to read newsfeed.,Classification,Mobile app,
PR-197,User can give feedback.,User,ubiquitous,the system shall allowthe user to give feedback.,,ubiquitous,the system shall allowthe user to give feedback.,Classification,Mobile app,
PR-197,User can like or dislike post from the newsfeed.,User,ubiquitous,the system shall make User can like or dislike post from the newsfeed.,,ubiquitous,the system shall make User can like or dislike post from the newsfeed.,Classification,Mobile app,
PR-197,User can log out of the system after performing his/her desire functionalities.,User,ubiquitous,the system shall make User can log out of the system after performing his/her desire functionalities.,,ubiquitous,the system shall make User can log out of the system after performing his/her desire functionalities.,Classification,Mobile app,
PR-197,User can easily change the password if it gets lost accidentally.,User,ubiquitous,if it gets lost accidentally than the system shall make User can easily change the password ,,ubiquitous,if it gets lost accidentally than the system shall make User can easily change the password ,Classification,Mobile app,
PR-197,"Admin can see the statistics of the overall system, like active users, activities etc.",Admin ,ubiquitous,"the system shall make Admin see the statistics of the overall system, like active users, activities etc.",,ubiquitous,"the system shall make Admin see the statistics of the overall system, like active users, activities etc.",Classification,Mobile app,
PR-197,Admin can warn/delete users on abuse being reported.,Admin ,ubiquitous,the system shall make Admin can warn/delete users on abuse being reported.,,ubiquitous,the system shall make Admin can warn/delete users on abuse being reported.,Classification,Mobile app,
PR-197,Admin can delete the posts being reported by users.,Admin ,ubiquitous,the system shall allow Admin to delete the posts being reported by users.,,ubiquitous,the system shall allow Admin to delete the posts being reported by users.,Classification,Mobile app,
PR-197,Admin can see ?ikes?and ?islikes?being posted by users.,Admin ,ubiquitous,the system shall allow Admin to see ?ikes?and ?islikes?being posted by users.,,ubiquitous,the system shall allow Admin to see ?ikes?and ?islikes?being posted by users.,Classification,Mobile app,
PR-197,Admin can see number of sharing by users.,Admin ,ubiquitous,the system shall allow Admin to see number of sharing by users.,,ubiquitous,the system shall allow Admin to see number of sharing by users.,Classification,Mobile app,
PR-197,Server can manage likes and dislikes., Backend Server,,,,ubiquitous,the Server shall manage likes and dislikes.,Classification,Mobile app,
PR-197,Server can manage accounts of users, Backend Server,,,,ubiquitous,the Server shall manage accounts of users,Classification,Mobile app,
PR-197,Server can use ML model., Backend Server,,Server can manage and use ML model.,,ubiquitous,the Server shall use ML model.,Classification,Web & Mobile app,
PR-198,The system will check all the fields and will accept it in case all fields meet  requirements.,Admin,ubiquitous,The system will check all the fields and will accept it in case all fields meet  requirements.,,ubiquitous,The system shall check all the fields.,Management system,Web & Mobile app,
,,,,,,ubiquitous,The system shall  accept the field in case all fields meet  requirements.,Management system,Web & Mobile app,
PR-198,The system shall alert admin in case of any error during the stakeholder? account  registration process.,Admin,ubiquitous,The system shall alert admin in case of any error during the stakeholder? account  registration process.,,ubiquitous,The system shall alert admin in case of any error during the stakeholder? account  registration process.,Management system,Web & Mobile app,
PR-198,"The system shall enable the client, project manager, board of directors, quality  assurance team and developer team to log in.",Account Log in,ubiquitous,"The system shall enable the client, project manager, board of directors, quality  assurance team and developer team to log in.",,ubiquitous,"The system shall enable the client, project manager, board of directors, quality  assurance team and developer team to log in.",Management system,Web & Mobile app,
PR-198,The system shall require the following information from the user: user name  and password,Account Log in,ubiquitous,The system shall require the following information from the user: user name  and password,,ubiquitous,The system shall require the following information from the user: user name  and password,Management system,Web & Mobile app,
PR-198,The system shall display the main home page of Requirement change  management tool.,Display Home Page,ubiquitous,The system shall display the main home page of Requirement change  management tool.,,ubiquitous,The system shall display the main home page of Requirement change  management tool.,Management system,Web & Mobile app,
PR-198,The system shall display the main home page of Requirement change  management tool.,Display Home Page,ubiquitous,The system shall display the main home page of Requirement change  management tool.,,ubiquitous,The system shall display the main home page of Requirement change  management tool.,Management system,Web & Mobile app,
PR-198,The system shall enable to choose the respective category and log in according  to the selected category.,Display Home Page,ubiquitous,The system shall enable to choose the respective category and log in according  to the selected category.,,ubiquitous,The system shall enable to choose the respective category and log in according  to the selected category.,Management system,Web & Mobile app,
PR-198,The system will display the menu bar for selection of category.,Display Home Page,ubiquitous,The system shall display the menu bar for selection of category.,,ubiquitous,The system shall display the menu bar for selection of category.,Management system,Web & Mobile app,
PR-198,The system shall allow the project manager to add a new project in the database.,Add new Project,ubiquitous,The system shall allow the project manager to add a new project in the database.,,ubiquitous,The system shall allow the project manager to add a new project in the database.,Management system,Web & Mobile app,
PR-198,The system shall allow the project manager to assign a client against every new  project added.,Add new Project,ubiquitous,The system shall allow the project manager to assign a client against every new  project added.,,ubiquitous,The system shall allow the project manager to assign a client against every new  project added.,Management system,Web & Mobile app,
PR-198,The system shall allow the project manager to set the initial values and  requirements of theproject.,Add new Project,ubiquitous,The system shall allow the project manager to set the initial values and  requirements of theproject.,,ubiquitous,The system shall allow the project manager to set the initial values and  requirements of theproject.,Management system,Web & Mobile app,
PR-198,The system shall allow the project to make changes in the project details later on.,Add new Project,ubiquitous,The system shall allow the project to make changes in the project details later on.,,ubiquitous,The system shall allow the project to make changes in the project details later on.,Management system,Web & Mobile app,
PR-198,"The system shall allow the client, project manager to view the projects.",Project selection,ubiquitous,"The system shall allow the client, project manager to view the projects.",,ubiquitous,"The system shall allow the client, project manager to view the projects.",Management system,Web & Mobile app,
PR-198,The system shall enable the user to select any project.,Project selection,ubiquitous,The system shall enable the user to select any project.,,ubiquitous,The system shall enable the user to select any project.,Management system,Web & Mobile app,
PR-198,The system shall display all related options for the selected projects.,Project selection,ubiquitous,The system shall display all related options for the selected projects.,,ubiquitous,The system shall display all related options for the selected projects.,Management system,Web & Mobile app,
PR-198,The system shall display the list of requirements.,Requirement Selection,ubiquitous,The system shall display the list of requirements.,,ubiquitous,The system shall display the list of requirements.,Management system,Web & Mobile app,
PR-198,The system shall allow the client to select the requirement for change request,Requirement Selection,ubiquitous,The system shall allow the client to select the requirement for change request,,ubiquitous,The system shall allow the client to select the requirement for change request,Management system,Web & Mobile app,
PR-198,The system shall display the details of the selected requirement.,Requirement Selection,ubiquitous,The system shall display the details of the selected requirement.,,ubiquitous,The system shall display the details of the selected requirement.,Management system,Web & Mobile app,
PR-198,The system shall allow the client to add new requirements and to change any  existing requirement.,Request any Change,ubiquitous,The system shall allow the client to add new requirements and to change any  existing requirement.,,ubiquitous,The system shall allow the client to add new requirements and to change any  existing requirement.,Management system,Web & Mobile app,
PR-198,The system shall add the change request into database.,Request any Change,ubiquitous,The system shall add the change request into database.,,ubiquitous,The system shall add the change request into database.,Management system,Web & Mobile app,
PR-198,The system shall enable the client to edit the change request later.,Request any Change,ubiquitous,The system shall enable the client to edit the change request later.,,ubiquitous,The system shall enable the client to edit the change request later.,Management system,Web & Mobile app,
PR-198,The system shall forward the change request by the customer to the project  manager.,Forward Change Request ,ubiquitous,The system shall forward the change request by the customer to the project  manager.,,ubiquitous,The system shall forward the change request by the customer to the project  manager.,Management system,Web & Mobile app,
PR-198,"The system shall allow the project manager to forward the request to quality  team, developer? team and board of directors.",Forward Change Request ,ubiquitous,"The system shall allow the project manager to forward the request to quality  team, developer? team and board of directors.",,ubiquitous,"The system shall allow the project manager to forward the request to quality  team, developer? team and board of directors.",Management system,Web & Mobile app,
PR-198,The system should give the delivery report of forwarded request.,Forward Change Request ,ubiquitous,The system shall give the delivery report of forwarded request.,,ubiquitous,The system shall give the delivery report of forwarded request.,Management system,Web & Mobile app,
PR-198,"The system shall allow the client, project manager, developer teams, board of  directors and quality assurance team to add comments to the requirement change.",Add Remarks ,,"The system shall allow the client, project manager, developer teams, board of  directors and quality assurance team to add comments to the requirement change.",,ubiquitous,"The system shall allow the client, project manager, developer teams, board of  directors and quality assurance team to add comments to the requirement change.",Management system,Web & Mobile app,
PR-198,The system shall display the comments to all the users in results.,Add Remarks ,ubiquitous,The system shall display the comments to all the users in results.,,ubiquitous,The system shall display the comments to all the users in results.,Management system,Web & Mobile app,
PR-198,The system shall allow the client and project manager to view the progress report  of the change request.,View Progress ,ubiquitous,The system shall allow the client and project manager to view the progress report  of the change request.,,ubiquitous,The system shall allow the client and project manager to view the progress report  of the change request.,Management system,Web & Mobile app,
PR-198,The system shall display the progress report of the change request.,View Progress ,ubiquitous,The system shall display the progress report of the change request.,,ubiquitous,The system shall display the progress report of the change request.,Management system,Web & Mobile app,
PR-198,The system shall display quality measurements of change request in numeric  representation.,Display Results ,ubiquitous,The system shall display quality measurements of change request in numeric  representation.,,ubiquitous,The system shall display quality measurements of change request in numeric  representation.,Management system,Web & Mobile app,
PR-198,The system shall display the cost value estimated for the change in numeric  representation.,Display Results ,ubiquitous,The system shall display the cost value estimated for the change in numeric  representation.,,ubiquitous,The system shall display the cost value estimated for the change in numeric  representation.,Management system,Web & Mobile app,
PR-198,The system shall display the time value estimated for the change in numeric values.,Display Results ,ubiquitous,The system shall display the time value estimated for the change in numeric values.,,ubiquitous,The system shall display the time value estimated for the change in numeric values.,Management system,Web & Mobile app,
PR-198,"The system shall notify the project manager, development team and board of  directors about the change requestreceived.",Notification,ubiquitous,"The system shall notify the project manager, development team and board of  directors about the change requestreceived.",,ubiquitous,"The system shall notify the project manager, development team and board of  directors about the change requestreceived.",Management system,Web & Mobile app,
PR-198,The system shall enable the project manager to accept the change request  by the customer.,Accept Request ,ubiquitous,The system shall enable the project manager to accept the change request  by the customer.,,ubiquitous,The system shall enable the project manager to accept the change request  by the customer.,Management system,Web & Mobile app,
PR-198,The system shall send request received confirmation to the client through  email.,Accept Request ,ubiquitous,The system shall send request received confirmation to the client through  email.,,ubiquitous,The system shall send request received confirmation to the client through  email.,Management system,Web & Mobile app,
PR-198,The system shall send a request rejection notification to the Customer.,Reject Request,ubiquitous,The system shall send a request rejection notification to the Customer.,,ubiquitous,The system shall send a request rejection notification to the Customer.,Management system,Web & Mobile app,
PR-198,he system shall allow Quality Assurance team to view project details and  change request which are sent by project manager.,Quality Calculation ,ubiquitous,the system shall allow Quality Assurance team to view project details and  change request which are sent by project manager.,,ubiquitous,the system shall allow Quality Assurance team to view project details and  change request which are sent by project manager.,Management system,Web & Mobile app,
PR-198,The system should allow QA team to calculate results for checking project  feasibility.,Quality Calculation ,ubiquitous,The system should allow QA team to calculate results for checking project  feasibility.,,ubiquitous,The system should allow QA team to calculate results for checking project  feasibility.,Management system,Web & Mobile app,
PR-198,The system should allow QA team to calculate results for checking project  feasibility.,Quality Calculation ,ubiquitous,The system should allow QA team to calculate results for checking project  feasibility.,,ubiquitous,The system should allow QA team to calculate results for checking project  feasibility.,Management system,Web & Mobile app,
PR-198,The system shall allow Development team to view project details and  change request which are sent by project manager.,Cost and time value calculation along variance,ubiquitous,The system shall allow Development team to view project details and  change request which are sent by project manager.,,ubiquitous,The system shall allow Development team to view project details and  change request which are sent by project manager.,Management system,Web & Mobile app,
PR-198,The system shall allow Development team to use formulas on the project,Cost and time value calculation along variance,ubiquitous,The system shall allow Development team to use formulas on the project,,ubiquitous,The system shall allow Development team to use formulas on the project,Management system,Web & Mobile app,
PR-198,The system shall allow the Development team to send the finalized results  to the project manager.,Cost and time value calculation along variance,ubiquitous,The system shall allow the Development team to send the finalized results  to the project manager.,,ubiquitous,The system shall allow the Development team to send the finalized results  to the project manager.,Management system,Web & Mobile app,
PR-198,The system shall allow the Project manager to send QA and development team  project results to Board of directors.,Verify Results ,ubiquitous,The system shall allow the Project manager to send QA and development team  project results to Board of directors.,,ubiquitous,The system shall allow the Project manager to send QA and development team  project results to Board of directors.,Management system,Web & Mobile app,
PR-198,The system should allow the board of director to verify results using specific  scales.,Verify Results ,ubiquitous,The system should allow the board of director to verify results using specific  scales.,,ubiquitous,The system should allow the board of director to verify results using specific  scales.,Management system,Web & Mobile app,
PR-198,The system shall allow the board of director to approve or reject change request.,Verify Results ,ubiquitous,The system shall allow the board of director to approve or reject change request.,,ubiquitous,The system shall allow the board of director to approve or reject change request.,Management system,Web & Mobile app,
PR-198,The system shall allow the board of director to send confirmation or rejection  notification to project manager.,Verify Results ,ubiquitous,The system shall allow the board of director to send confirmation or rejection  notification to project manager.,,ubiquitous,The system shall allow the board of director to send confirmation or rejection  notification to project manager.,Management system,Web & Mobile app,
PR-198,The system shall allow the project manager to add a new project in the database.,Add new Project,ubiquitous,The system shall allow the project manager to add a new project in the database.,,ubiquitous,The system shall allow the project manager to add a new project in the database.,Management system,Web & Mobile app,
PR-198,The system shall allow the project manager to assign a client against every new  project added.,Add new Project,ubiquitous,The system shall allow the project manager to assign a client against every new  project added.,,ubiquitous,The system shall allow the project manager to assign a client against every new  project added.,Management system,Web & Mobile app,
PR-198,The system shall allow the project manager to set the initial values and  requirements of theproject.,Add new Project,ubiquitous,The system shall allow the project manager to set the initial values and  requirements of theproject.,,ubiquitous,The system shall allow the project manager to set the initial values and  requirements of theproject.,Management system,Web & Mobile app,
PR-198,The system shall allow the project to make changes in the project details later on.,Add new Project,ubiquitous,The system shall allow the project to make changes in the project details later on.,,ubiquitous,The system shall allow the project to make changes in the project details later on.,Management system,Web & Mobile app,
PR-198,"The system shall allow the client, project manager to view the projects.",Project selection,ubiquitous,"The system shall allow the client, project manager to view the projects.",,ubiquitous,"The system shall allow the client, project manager to view the projects.",Management system,Web & Mobile app,
PR-198,The system shall enable the user to select any project.,Project selection,ubiquitous,The system shall enable the user to select any project.,,ubiquitous,The system shall enable the user to select any project.,Management system,Web & Mobile app,
PR-198,The system shall display all related options for the selected projects.,Project selection,ubiquitous,The system shall display all related options for the selected projects.,,ubiquitous,The system shall display all related options for the selected projects.,Management system,Web & Mobile app,
PR-198,The system shall display the list of requirements.,Requirement Selection,ubiquitous,The system shall display the list of requirements.,,ubiquitous,The system shall display the list of requirements.,Management system,Web & Mobile app,
PR-198,The system shall allow the client to select the requirement for change request,Requirement Selection,ubiquitous,The system shall allow the client to select the requirement for change request,,ubiquitous,The system shall allow the client to select the requirement for change request,Management system,Web & Mobile app,
PR-198,The system shall display the details of the selected requirement.,Requirement Selection,ubiquitous,The system shall display the details of the selected requirement.,,ubiquitous,The system shall display the details of the selected requirement.,Management system,Web & Mobile app,
PR-198,The system shall allow the client to add new requirements and to change any  existing requirement.,Request any Change,ubiquitous,The system shall allow the client to add new requirements and to change any  existing requirement.,,ubiquitous,The system shall allow the client to add new requirements and to change any  existing requirement.,Management system,Web & Mobile app,
PR-198,The system shall add the change request into database.,Request any Change,ubiquitous,The system shall add the change request into database.,,ubiquitous,The system shall add the change request into database.,Management system,Web & Mobile app,
PR-198,The system shall enable the client to edit the change request later.,Request any Change,ubiquitous,The system shall enable the client to edit the change request later.,,ubiquitous,The system shall enable the client to edit the change request later.,Management system,Web & Mobile app,
