index,Raw Requirements,Requirement with Standard Syntax, type,Domain,sub_domain,raw_length,standard_length,clean_raw_length,clean_standard_length,POS,Boilerplate Sentence
2436,website shall enable user download cv and/or view online.,system shall enable user download cv and/or view online.,0,Education,Web development,73,72,57,56,"[('website', 'JJ'), ('shall', 'MD'), ('enable', 'VB'), ('user', 'JJ'), ('download', 'NN'), ('cv', 'NN'), ('and/or', 'JJ'), ('view', 'NN'), ('online', 'NN'), ('.', '.')]",The system shall enable website user and/or download cv view online
2437,website shall enable student read detail phd proposals.,system shall enable student read detail phd proposals.,0,Education,Web development,74,73,55,54,"[('website', 'JJ'), ('shall', 'MD'), ('enable', 'VB'), ('student', 'NN'), ('read', 'JJ'), ('detail', 'NN'), ('phd', 'NN'), ('proposals', 'NNS'), ('.', '.')]",The system shall enable website read student detail phd
2438,website shall enable student see different demo email supervisor phd,system shall enable student see different demo email supervisor phd,0,Education,Web development,102,101,68,67,"[('website', 'JJ'), ('shall', 'MD'), ('enable', 'VB'), ('student', 'NN'), ('see', 'VB'), ('different', 'JJ'), ('demo', 'NNS'), ('email', 'VBP'), ('supervisor', 'NN'), ('phd', 'NN')]",The system shall enable see email website different student supervisor phd
2439,website shall enable student ask kind query regarding problem.,system shall enable student ask kind query regarding problem.,0,Education,Web development,86,85,62,61,"[('website', 'JJ'), ('shall', 'MD'), ('enable', 'VB'), ('student', 'NN'), ('ask', 'NN'), ('kind', 'NN'), ('query', 'NN'), ('regarding', 'VBG'), ('problem', 'NN'), ('.', '.')]",The system shall enable regarding website student ask kind query problem
2440,website shall enable admin respond queries.,system shall enable admin respond queries.,0,Education,Web development,57,56,43,42,"[('website', 'JJ'), ('shall', 'MD'), ('enable', 'VB'), ('admin', 'JJ'), ('respond', 'NN'), ('queries', 'NNS'), ('.', '.')]",The system shall enable website admin respond
2441,website shall enable admin edit university information.,system shall enable admin edit university information.,0,Education,Web development,66,65,55,54,"[('website', 'JJ'), ('shall', 'MD'), ('enable', 'VB'), ('admin', 'NN'), ('edit', 'NN'), ('university', 'NN'), ('information', 'NN'), ('.', '.')]",The system shall enable website admin edit university information
2442,website shall enable admin edit scholarship information.,system shall enable admin edit scholarship information.,0,Education,Web development,67,66,56,55,"[('website', 'JJ'), ('shall', 'MD'), ('enable', 'VB'), ('admin', 'JJ'), ('edit', 'NN'), ('scholarship', 'NN'), ('information', 'NN'), ('.', '.')]",The system shall enable website admin edit scholarship information
2443,website shall enable admin edit cv demo.,system shall enable admin edit cv demo.,0,Education,Web development,51,50,40,39,"[('website', 'JJ'), ('shall', 'MD'), ('enable', 'VB'), ('admin', 'JJ'), ('edit', 'NN'), ('cv', 'NN'), ('demo', 'NN'), ('.', '.')]",The system shall enable website admin edit cv demo
2444,website shall enable admin edit phd proposal information.,system shall enable admin edit phd proposal information.,0,Education,Web development,68,67,57,56,"[('website', 'JJ'), ('shall', 'MD'), ('enable', 'VB'), ('admin', 'JJ'), ('edit', 'NN'), ('phd', 'NN'), ('proposal', 'NN'), ('information', 'NN'), ('.', '.')]",The system shall enable website admin edit phd proposal information
2445,website shall enable admin view information form graph chart (i.e. dashboard).,system shall enable admin view information form graph chart (i.e. dashboard).,0,Education,Web development,105,104,78,77,"[('website', 'JJ'), ('shall', 'MD'), ('enable', 'VB'), ('admin', 'JJ'), ('view', 'NN'), ('information', 'NN'), ('form', 'NN'), ('graph', 'NN'), ('chart', 'NN'), ('(', '('), ('i.e', 'JJ'), ('.', '.'), ('dashboard', 'NN'), (')', ')'), ('.', '.')]",The system shall enable website admin i.e view information form graph chart dashboard
2446,website shall enable student see result according entered criterion searching university scholarships.,system shall enable student see result according entered criterion searching university scholarships.,0,Education,Web development,132,131,102,101,"[('website', 'JJ'), ('shall', 'MD'), ('enable', 'VB'), ('student', 'NN'), ('see', 'NN'), ('result', 'NN'), ('according', 'VBG'), ('entered', 'VBN'), ('criterion', 'NN'), ('searching', 'VBG'), ('university', 'NN'), ('scholarships', 'NNS'), ('.', '.')]",The system shall enable according entered searching website student see result criterion university
2447,system shall allow user claim organization account.,system shall allow user claim organization account.,0,Social media,Web development,65,65,51,51,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'JJ'), ('claim', 'NN'), ('organization', 'NN'), ('account', 'NN'), ('.', '.')]",The system shall allow user system claim organization account
2448,system shall allow user register organization.,system shall allow user register organization.,0,Social media,Web development,70,70,46,46,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'RB'), ('register', 'JJ'), ('organization', 'NN'), ('.', '.')]",The system shall allow register system organization
2449,system shall allow user register.,system shall allow user register.,0,Social media,Web development,44,44,33,33,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'JJ'), ('register', 'NN'), ('.', '.')]",The system shall allow user system register
2450,system shall allow registered user add feedback.,system shall allow registered user add feedback.,0,Social media,Web development,59,59,48,48,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('registered', 'VBD'), ('user', 'JJ'), ('add', 'JJ'), ('feedback', 'NN'), ('.', '.')]",The system shall allow registered user add system feedback
2451,system shall allow user add picture himself.,system shall allow user add picture himself.,0,Social media,Web development,62,62,44,44,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'NN'), ('add', 'JJ'), ('picture', 'NN'), ('himself', 'PRP'), ('.', '.')]",The system shall allow add system user picture
2452,system shall allow user add contact number,system shall allow user add contact number,0,Social media,Web development,57,57,42,42,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'NN'), ('add', 'VB'), ('contact', 'JJ'), ('number', 'NN')]",The system shall allow add contact system user number
2453,system shall allow user scan face face already database add new face database.,system shall allow user scan face face already database add new face database.,0,Social media,Web development,120,120,78,78,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'JJ'), ('scan', 'JJ'), ('face', 'NN'), ('face', 'NN'), ('already', 'RB'), ('database', 'VB'), ('add', 'VB'), ('new', 'JJ'), ('face', 'NN'), ('database', 'NN'), ('.', '.')]",The system shall allow database add user scan new system face database
2454,system shall allow user add picture gallery.,system shall allow user add picture gallery.,0,Social media,Web development,56,56,44,44,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'NN'), ('add', 'JJ'), ('picture', 'NN'), ('gallery', 'NN'), ('.', '.')]",The system shall allow add system user picture gallery
2455,system shall allow user match face specific celebrity.,system shall allow user match face specific celebrity.,0,Social media,Web development,76,76,54,54,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'JJ'), ('match', 'NN'), ('face', 'NN'), ('specific', 'JJ'), ('celebrity', 'NN'), ('.', '.')]",The system shall allow user specific system match face celebrity
2456,system shall show percentage matching result.,system shall show percentage matching result.,0,Social media,Web development,56,56,45,45,"[('system', 'NN'), ('shall', 'MD'), ('show', 'VB'), ('percentage', 'NN'), ('matching', 'VBG'), ('result', 'NN'), ('.', '.')]",The system shall show matching  system percentage result
2457,system shall allow user add comment result,system shall allow user add comment result,0,Social media,Web development,64,64,42,42,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'NN'), ('add', 'JJ'), ('comment', 'NN'), ('result', 'NN')]",The system shall allow add system user comment result
2458,system shall allow user track social medium account,system shall allow user track social medium account,0,Social media,Web development,70,70,51,51,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'JJ'), ('track', 'NN'), ('social', 'JJ'), ('medium', 'NN'), ('account', 'NN')]",The system shall allow user social system track medium account
2459,system shall allow user track specific social medium account,system shall allow user track specific social medium account,0,Social media,Web development,73,73,60,60,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'NN'), ('track', 'NN'), ('specific', 'JJ'), ('social', 'JJ'), ('medium', 'NN'), ('account', 'NN')]",The system shall allow specific social system user track medium account
2460,system shall show percentage matching result.,system shall show percentage matching result.,0,Social media,Web development,56,56,45,45,"[('system', 'NN'), ('shall', 'MD'), ('show', 'VB'), ('percentage', 'NN'), ('matching', 'VBG'), ('result', 'NN'), ('.', '.')]",The system shall show matching  system percentage result
2461,system shall allow organization track online user,system shall allow organization track online user,0,Social media,Web development,65,65,49,49,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('organization', 'NN'), ('track', 'NN'), ('online', 'NN'), ('user', 'NN')]",The system shall allow  system organization track online user
2462,system shall allow user check history activity,system shall allow user check history activity,0,Social media,Web development,70,70,46,46,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'RB'), ('check', 'VB'), ('history', 'NN'), ('activity', 'NN')]",The system shall allow check  system history activity
2463,system shall allow user get update every activity notification bar.,system shall allow user get update every activity notification bar.,0,Social media,Web development,89,89,67,67,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'NN'), ('get', 'NN'), ('update', 'JJ'), ('every', 'DT'), ('activity', 'NN'), ('notification', 'NN'), ('bar', 'NN'), ('.', '.')]",The system shall allow update system user get activity notification bar
2464,system shall allow user edit profile personal details.,system shall allow user edit profile personal details.,0,Social media,Web development,75,75,54,54,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'NN'), ('edit', 'NN'), ('profile', 'IN'), ('personal', 'JJ'), ('details', 'NNS'), ('.', '.')]",The system shall allow personal system user edit
2465,system shall allow user update picture,system shall allow user update picture,0,Social media,Web development,55,55,38,38,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'JJ'), ('update', 'JJ'), ('picture', 'NN')]",The system shall allow user update system picture
2466,system shall allow user post comment feedbacks.,system shall allow user post comment feedbacks.,0,Social media,Web development,67,67,47,47,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'NN'), ('post', 'NN'), ('comment', 'NN'), ('feedbacks', 'NNS'), ('.', '.')]",The system shall allow  system user post comment
2467,system shall allow user update/remove comment.,system shall allow user update/remove comment.,0,Social media,Web development,63,63,46,46,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'RB'), ('update/remove', 'JJ'), ('comment', 'NN'), ('.', '.')]",The system shall allow update/remove system comment
2468,system shall allow user view comment users.,system shall allow user view comment users.,0,Social media,Web development,65,65,43,43,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'RB'), ('view', 'JJ'), ('comment', 'NN'), ('users', 'NNS'), ('.', '.')]",The system shall allow view system comment
2469,system shall allow user view profile registered users.,system shall allow user view profile registered users.,0,Social media,Web development,84,84,54,54,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'RB'), ('view', 'NN'), ('profile', 'NN'), ('registered', 'VBD'), ('users', 'NNS'), ('.', '.')]",The system shall allow registered  system view profile
2470,system shall allow user view profile registered company,system shall allow user view profile registered company,0,Social media,Web development,87,87,55,55,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'RB'), ('view', 'NN'), ('profile', 'NN'), ('registered', 'VBD'), ('company', 'NN')]",The system shall allow registered  system view profile company
2471,system shall allow user email user,system shall allow user email user,0,Social media,Web development,56,56,34,34,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'JJ'), ('email', 'NN'), ('user', 'NN')]",The system shall allow user system email user
2472,system shall allow user communicate sending receiving message system panel,system shall allow user communicate sending receiving message system panel,0,Social media,Web development,118,118,74,74,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'JJ'), ('communicate', 'NN'), ('sending', 'VBG'), ('receiving', 'VBG'), ('message', 'NN'), ('system', 'NN'), ('panel', 'NN')]",The system shall allow sending receiving user system communicate message panel
2473,"system shall allow user detect object like sofa, ball, chair, etc.","system shall allow user detect object like sofa, ball, chair, etc.",0,Social media,Web development,84,84,66,66,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'NN'), ('detect', 'JJ'), ('object', 'NN'), ('like', 'IN'), ('sofa', 'NN'), (',', ','), ('ball', 'NN'), (',', ','), ('chair', 'NN'), (',', ','), ('etc', 'FW'), ('.', '.')]",The system shall allow detect system user object sofa ball chair
2474,system shall allow user write feedback.,system shall allow user write feedback.,0,Social media,Web development,52,52,39,39,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'JJ'), ('write', 'JJ'), ('feedback', 'NN'), ('.', '.')]",The system shall allow user write system feedback
2475,system shall allow user give ratings.,system shall allow user give ratings.,0,Social media,Web development,52,52,37,37,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'RB'), ('give', 'JJ'), ('ratings', 'NNS'), ('.', '.')]",
2476,system shall allow user count number visit,system shall allow user count number visit,0,Social media,Web development,57,57,42,42,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'NN'), ('count', 'NN'), ('number', 'NN'), ('visit', 'NN')]",The system shall allow  system user count number visit
2477,system shall allow user add video.,system shall allow user add video.,0,Social media,Web development,41,41,34,34,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'NN'), ('add', 'IN'), ('video', 'NN'), ('.', '.')]",The system shall allow  system user video
2478,system shall allow user find age gender image given system.,system shall allow user find age gender image given system.,0,Social media,Web development,93,93,59,59,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'NN'), ('find', 'VB'), ('age', 'NN'), ('gender', 'NN'), ('image', 'NN'), ('given', 'VBN'), ('system', 'NN'), ('.', '.')]",The system shall allow find given  system user age gender image
2479,system shall allow user search employees?social medium account username.,system shall allow user search employees?social medium account username.,0,Social media,Web development,99,99,72,72,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'JJ'), ('search', 'NN'), ('employees', 'NNS'), ('?', '.'), ('social', 'JJ'), ('medium', 'NN'), ('account', 'NN'), ('username', 'NN'), ('.', '.')]",The system shall allow user social system search medium account username
2480,system shall allow user create panorama shot providing numbr picture system input.,system shall allow user create panorama shot providing numbr picture system input.,0,Social media,Web development,109,109,82,82,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'JJ'), ('create', 'NN'), ('panorama', 'NN'), ('shot', 'NN'), ('providing', 'VBG'), ('numbr', 'JJ'), ('picture', 'NN'), ('system', 'NN'), ('input', 'NN'), ('.', '.')]",The system shall allow providing user numbr system create panorama shot picture input
2481,application shall provide button view numbrd ar model lahore fort.,system shall provide button view numbrd ar model lahore fort.,0,Vision based,Mobile app,74,69,66,61,"[('application', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('button', 'NN'), ('view', 'NN'), ('numbrd', 'VBP'), ('ar', 'NN'), ('model', 'NN'), ('lahore', 'NN'), ('fort', 'NN'), ('.', '.')]",The system shall provide numbrd  application button view ar model lahore fort
2482,application shall scan identify building lahore fort.,system shall scan identify building lahore fort.,0,Vision based,Mobile app,69,64,53,48,"[('application', 'NN'), ('shall', 'MD'), ('scan', 'VB'), ('identify', 'VB'), ('building', 'VBG'), ('lahore', 'JJR'), ('fort', 'NN'), ('.', '.')]",The system shall scan identify building  application fort
2483,application shall paste numbrd model building lahore fort.,system shall paste numbrd model building lahore fort.,0,Vision based,Mobile app,66,61,58,53,"[('application', 'NN'), ('shall', 'MD'), ('paste', 'VB'), ('numbrd', 'JJ'), ('model', 'NN'), ('building', 'VBG'), ('lahore', 'JJR'), ('fort', 'NN'), ('.', '.')]",The system shall paste building numbrd application model fort
2484,application shall provide history section detail image building lahore fort.,system shall provide history section detail image building lahore fort.,0,Vision based,Mobile app,108,103,76,71,"[('application', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('history', 'NN'), ('section', 'NN'), ('detail', 'NN'), ('image', 'NN'), ('building', 'NN'), ('lahore', 'NN'), ('fort', 'NN'), ('.', '.')]",The system shall provide  application history section detail image building lahore fort
2485,application shall provide real-time navigation map.,system shall provide real-time navigation map.,0,Vision based,Mobile app,65,60,51,46,"[('application', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('real-time', 'JJ'), ('navigation', 'NN'), ('map', 'NN'), ('.', '.')]",The system shall provide real-time application navigation map
2486,application shall detect current location user.,system shall detect current location user.,0,Vision based,Mobile app,54,49,47,42,"[('application', 'NN'), ('shall', 'MD'), ('detect', 'VB'), ('current', 'JJ'), ('location', 'NN'), ('user', 'NN'), ('.', '.')]",The system shall detect current application location user
2487,application shall enable user select destination location provide navigation destination.,system shall enable user select destination location provide navigation destination.,0,Vision based,Mobile app,108,103,89,84,"[('application', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('user', 'JJ'), ('select', 'JJ'), ('destination', 'NN'), ('location', 'NN'), ('provide', 'IN'), ('navigation', 'NN'), ('destination', 'NN'), ('.', '.')]",The system shall enable user select application destination location navigation
2488,application shall provide option view numbrd model remotely (i.e. without physically going lahore fort.),system shall provide option view numbrd model remotely (i.e. without physically going lahore fort.),0,Vision based,Mobile app,114,109,104,99,"[('application', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('option', 'NN'), ('view', 'NN'), ('numbrd', 'IN'), ('model', 'NN'), ('remotely', 'RB'), ('(', '('), ('i.e', 'NN'), ('.', '.'), ('without', 'IN'), ('physically', 'RB'), ('going', 'VBG'), ('lahore', 'RBR'), ('fort', 'NN'), ('.', '.'), (')', ')')]",The system shall provide going  application option view model i.e fort
2489,application shall detect plain surface put numbrd model it.,system shall detect plain surface put numbrd model it.,0,Vision based,Mobile app,65,60,59,54,"[('application', 'NN'), ('shall', 'MD'), ('detect', 'VB'), ('plain', 'NN'), ('surface', 'NN'), ('put', 'VBD'), ('numbrd', 'JJ'), ('model', 'NN'), ('it', 'PRP'), ('.', '.')]",The system shall detect put numbrd application plain surface model
2490,application shall provide resizable numbrd model.,system shall provide resizable numbrd model.,0,Vision based,Mobile app,49,44,49,44,"[('application', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('resizable', 'JJ'), ('numbrd', 'JJ'), ('model', 'NN'), ('.', '.')]",The system shall provide resizable numbrd application model
2491,application shall provide indoor navigation.,system shall provide indoor navigation.,0,Vision based,Mobile app,48,43,44,39,"[('application', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('indoor', 'JJ'), ('navigation', 'NN'), ('.', '.')]",The system shall provide indoor application navigation
2492,application shall provide option capture snapshot ar view camera.,system shall provide option capture snapshot ar view camera.,0,Vision based,Mobile app,87,82,65,60,"[('application', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('option', 'NN'), ('capture', 'NN'), ('snapshot', 'JJ'), ('ar', 'RB'), ('view', 'NN'), ('camera', 'NN'), ('.', '.')]",The system shall provide snapshot application option capture view camera
2493,application shall take screenshot capturing numbrd model real view.,system shall take screenshot capturing numbrd model real view.,0,Vision based,Mobile app,78,73,67,62,"[('application', 'NN'), ('shall', 'MD'), ('take', 'VB'), ('screenshot', 'JJ'), ('capturing', 'VBG'), ('numbrd', 'JJ'), ('model', 'NN'), ('real', 'JJ'), ('view', 'NN'), ('.', '.')]",The system shall take capturing screenshot numbrd real application model view
2494,application shall provide gallery snapshot saved.,system shall provide gallery snapshot saved.,0,Vision based,Mobile app,75,70,49,44,"[('application', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('gallery', 'NN'), ('snapshot', 'NN'), ('saved', 'VBD'), ('.', '.')]",The system shall provide saved  application gallery snapshot
2495,application shall allow user view delete image gallery.,system shall allow user view delete image gallery.,0,Vision based,Mobile app,75,70,55,50,"[('application', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'RB'), ('view', 'NN'), ('delete', 'JJ'), ('image', 'NN'), ('gallery', 'NN'), ('.', '.')]",The system shall allow delete application view image gallery
2496,system allow manager/employee add detail warehouse,system shall allow manager/employee add detail warehouse,0,Management system,Mobile app,80,79,50,56,"[('system', 'NN'), ('allow', 'JJ'), ('manager/employee', 'NN'), ('add', 'NN'), ('detail', 'NN'), ('warehouse', 'NN')]",The system shall  allow system manager/employee add detail warehouse
2497,system allow manager/employee view warehouse.,system shall allow manager/employee view warehouse.,0,Management system,Mobile app,63,62,45,51,"[('system', 'NN'), ('allow', 'JJ'), ('manager/employee', 'RB'), ('view', 'NN'), ('warehouse', 'NN'), ('.', '.')]",The system shall  allow system view warehouse
2498,system allow manager/employee add product database.,system shall allow manager/employee add product database.,0,Management system,Mobile app,81,80,51,57,"[('system', 'NN'), ('allow', 'JJ'), ('manager/employee', 'NN'), ('add', 'VB'), ('product', 'NN'), ('database', 'NN'), ('.', '.')]",The system shall add allow system manager/employee product database
2499,"system allow manager/employee add product id, warehouse, price, tax no. etc","system shall allow manager/employee add product id, warehouse, price, tax no. etc",0,Management system,Mobile app,103,102,75,81,"[('system', 'NN'), ('allow', 'JJ'), ('manager/employee', 'NN'), ('add', 'VB'), ('product', 'NN'), ('id', 'NN'), (',', ','), ('warehouse', 'NN'), (',', ','), ('price', 'NN'), (',', ','), ('tax', 'NN'), ('no', 'DT'), ('.', '.'), ('etc', 'VB')]",The system shall add etc allow system manager/employee product id warehouse price tax
2500,system allow manager/admin save detail product database clicking add button,system shall allow manager/admin save detail product database clicking add button,0,Management system,Mobile app,115,114,75,81,"[('system', 'NN'), ('allow', 'JJ'), ('manager/admin', 'NNS'), ('save', 'VBP'), ('detail', 'JJ'), ('product', 'NN'), ('database', 'NN'), ('clicking', 'VBG'), ('add', 'JJ'), ('button', 'NN')]",The system shall save clicking allow detail add system product database button
2501,system allow manager/employee view product inventory.,system shall allow manager/employee view product inventory.,0,Management system,Mobile app,75,74,53,59,"[('system', 'NN'), ('allow', 'JJ'), ('manager/employee', 'NN'), ('view', 'NN'), ('product', 'NN'), ('inventory', 'NN'), ('.', '.')]",The system shall  allow system manager/employee view product inventory
2502,system allow manager/employee search detail product searching id name.,system shall allow manager/employee search detail product searching id name.,0,Management system,Mobile app,113,112,70,76,"[('system', 'NN'), ('allow', 'JJ'), ('manager/employee', 'NN'), ('search', 'NN'), ('detail', 'NN'), ('product', 'NN'), ('searching', 'VBG'), ('id', 'JJ'), ('name', 'NN'), ('.', '.')]",The system shall searching allow id system manager/employee search detail product name
2503,system allow admin/manager search product clicking search button,system shall allow admin/manager search product clicking search button,0,Management system,Mobile app,93,92,64,70,"[('system', 'NN'), ('allow', 'JJ'), ('admin/manager', 'NN'), ('search', 'NN'), ('product', 'NN'), ('clicking', 'VBG'), ('search', 'JJ'), ('button', 'NN')]",The system shall clicking allow search system admin/manager search product button
2504,"system allow manager/employee add customer detail like name, contact, customer reference.","system shall allow manager/employee add customer detail like name, contact, customer reference.",0,Management system,Mobile app,108,107,89,95,"[('system', 'NN'), ('allow', 'JJ'), ('manager/employee', 'NN'), ('add', 'VB'), ('customer', 'NN'), ('detail', 'NN'), ('like', 'IN'), ('name', 'NN'), (',', ','), ('contact', 'NN'), (',', ','), ('customer', 'NN'), ('reference', 'NN'), ('.', '.')]",The system shall add allow system manager/employee customer detail name contact reference
2505,system allow manager/employee view customer detail,system shall allow manager/employee view customer details.,0,Management system,Mobile app,69,69,50,58,"[('system', 'NN'), ('allow', 'JJ'), ('manager/employee', 'NN'), ('view', 'NN'), ('customer', 'NN'), ('detail', 'NN')]",The system shall  allow system manager/employee view customer detail
2506,"system allow manager/employee add detail sell order like id, customer id, price, product name, quantity, shipper name, warehouse etc.","system shall allow manager/employee add detail sell order like id, customer id, price, product name, quantity, shipper name, warehouse etc.",0,Management system,Mobile app,165,164,133,139,"[('system', 'NN'), ('allow', 'JJ'), ('manager/employee', 'NN'), ('add', 'VB'), ('detail', 'NN'), ('sell', 'NN'), ('order', 'NN'), ('like', 'IN'), ('id', 'NN'), (',', ','), ('customer', 'NN'), ('id', 'NN'), (',', ','), ('price', 'NN'), (',', ','), ('product', 'NN'), ('name', 'NN'), (',', ','), ('quantity', 'NN'), (',', ','), ('shipper', 'NN'), ('name', 'NN'), (',', ','), ('warehouse', 'NN'), ('etc', 'NN'), ('.', '.')]",The system shall add allow system manager/employee detail sell order id customer price product name quantity shipper warehouse etc
2507,system allow manager/employee view sell order.,system allow manager/employee view sell order.,0,Management system,Mobile app,64,64,46,46,"[('system', 'NN'), ('allow', 'JJ'), ('manager/employee', 'RB'), ('view', 'NN'), ('sell', 'NN'), ('order', 'NN'), ('.', '.')]",The system shall  allow system view sell order
2508,system allow manager/admin add detail purchase blanket agreement.,system allow manager/admin add detail purchase blanket agreement.,0,Management system,Mobile app,87,87,65,65,"[('system', 'NN'), ('allow', 'JJ'), ('manager/admin', 'NN'), ('add', 'NN'), ('detail', 'NN'), ('purchase', 'NN'), ('blanket', 'NN'), ('agreement', 'NN'), ('.', '.')]",The system shall  allow system manager/admin add detail purchase blanket agreement
2509,system allow manager/admin view blanket agreement.,system shall allow manager/admin view blanket agreement.,0,Management system,Mobile app,72,71,50,56,"[('system', 'NN'), ('allow', 'JJ'), ('manager/admin', 'RB'), ('view', 'VBP'), ('blanket', 'JJ'), ('agreement', 'NN'), ('.', '.')]",The system shall view allow blanket system agreement
2510,system allow employee add purchase request detail,system shall allow employee add purchase request detail,0,Management system,Mobile app,68,67,49,55,"[('system', 'NN'), ('allow', 'JJ'), ('employee', 'NN'), ('add', 'VB'), ('purchase', 'NN'), ('request', 'NN'), ('detail', 'NN')]",The system shall add allow system employee purchase request detail
2511,system allow employee create purchase order adding detail,system shall allow employee create purchase order adding detail,0,Management system,Mobile app,87,86,57,63,"[('system', 'NN'), ('allow', 'VB'), ('employee', 'NN'), ('create', 'JJ'), ('purchase', 'NN'), ('order', 'NN'), ('adding', 'VBG'), ('detail', 'NN')]",The system shall allow adding create system employee purchase order detail
2512,"system allow employee add payment sell order adding detail like customer id, sell item, name, contact, amount etc","system shall allow employee add payment sell order adding detail like customer id, sell item, name, contact, amount etc.",0,Management system,Mobile app,144,144,113,120,"[('system', 'NN'), ('allow', 'JJ'), ('employee', 'NN'), ('add', 'VB'), ('payment', 'NN'), ('sell', 'NN'), ('order', 'NN'), ('adding', 'VBG'), ('detail', 'NN'), ('like', 'IN'), ('customer', 'NN'), ('id', 'NN'), (',', ','), ('sell', 'VB'), ('item', 'NN'), (',', ','), ('name', 'NN'), (',', ','), ('contact', 'NN'), (',', ','), ('amount', 'NN'), ('etc', 'NN')]",The system shall add adding sell allow system employee payment sell order detail customer id item name contact amount etc
2513,"system allow manager/admin candidate adding details,",system shall allow manager/admin candidate adding details.,0,Management system,Mobile app,80,79,52,58,"[('system', 'NN'), ('allow', 'JJ'), ('manager/admin', 'NN'), ('candidate', 'NN'), ('adding', 'VBG'), ('details', 'NNS'), (',', ',')]",The system shall adding allow system manager/admin candidate
2514,system allow manager/admin add detail staff.,system shall allow manager/admin add detail staff.,0,Management system,Mobile app,74,73,44,50,"[('system', 'NN'), ('allow', 'JJ'), ('manager/admin', 'NN'), ('add', 'VB'), ('detail', 'JJ'), ('staff', 'NN'), ('.', '.')]",The system shall add allow detail system manager/admin staff
2515,"system allow manager add staff? designation, id, name, age, experience, contact email, previous salary, previous company etc","system shall allow manager add staff? designation, id, name, age, experience, contact email, previous salary, previous company etc",0,Management system,Mobile app,146,145,124,130,"[('system', 'NN'), ('allow', 'JJ'), ('manager', 'NN'), ('add', 'VB'), ('staff', 'NN'), ('?', '.'), ('designation', 'NN'), (',', ','), ('id', 'NN'), (',', ','), ('name', 'NN'), (',', ','), ('age', 'NN'), (',', ','), ('experience', 'NN'), (',', ','), ('contact', 'NN'), ('email', 'NN'), (',', ','), ('previous', 'JJ'), ('salary', 'NN'), (',', ','), ('previous', 'JJ'), ('company', 'NN'), ('etc', 'NN')]",The system shall add allow previous system manager staff designation id name age experience contact email salary company etc
